FIRE_YEAR,STAT_CAUSE_CODE,NUM_FIRES
1992,1,12230
1992,2,5633
1992,3,2618
1992,4,2570
1992,5,12729
1992,6,1999
1992,7,11158
1992,8,2916
1992,9,7364
1992,10,213
1992,11,128
1992,12,47
1992,13,8366
1993,1,7539
1993,2,5516
1993,3,2420
1993,4,2767
1993,5,12353
1993,6,1844
1993,7,10944
1993,8,2501
1993,9,6848
1993,10,243
1993,11,133
1993,12,54
1993,13,8826
1994,1,16204
1994,2,5429
1994,3,2627
1994,4,3726
1994,5,14845
1994,6,1965
1994,7,10078
1994,8,3201
1994,9,7069
1994,10,413
1994,11,144
1994,12,67
1994,13,10183
1995,1,8075
1995,2,5594
1995,3,2895
1995,4,3987
1995,5,16719
1995,6,2142
1995,7,12648
1995,8,3310
1995,9,7297
1995,10,202
1995,11,154
1995,12,89
1995,13,8360
1996,1,12634
1996,2,6028
1996,3,2454
1996,4,4038
1996,5,16827
1996,6,2896
1996,7,10204
1996,8,3039
1996,9,7114
1996,10,322
1996,11,166
1996,12,85
1996,13,9764
1997,1,8447
1997,2,5744
1997,3,1971
1997,4,2490
1997,5,14746
1997,6,2177
1997,7,10934
1997,8,2884
1997,9,9663
1997,10,276
1997,11,180
1997,12,116
1997,13,1816
1998,1,10880
1998,2,6027
1998,3,2406
1998,4,2661
1998,5,15111
1998,6,1873
1998,7,14103
1998,8,3109
1998,9,9333
1998,10,306
1998,11,371
1998,12,110
1998,13,2079
1999,1,11797
1999,2,7643
1999,3,3250
1999,4,3266
1999,5,22343
1999,6,2524
1999,7,19282
1999,8,3517
1999,9,12408
1999,10,330
1999,11,364
1999,12,130
1999,13,2509
2000,1,16547
2000,2,6608
2000,3,3047
2000,4,2723
2000,5,21790
2000,6,3143
2000,7,17827
2000,8,3492
2000,9,19037
2000,10,292
2000,11,351
2000,12,136
2000,13,1423
2001,1,13825
2001,2,6581
2001,3,3381
2001,4,3121
2001,5,21377
2001,6,2293
2001,7,16939
2001,8,3537
2001,9,12038
2001,10,426
2001,11,364
2001,12,145
2001,13,2560
2002,1,12465
2002,2,5382
2002,3,2535
2002,4,3022
2002,5,19269
2002,6,1900
2002,7,12785
2002,8,2906
2002,9,12423
2002,10,433
2002,11,312
2002,12,171
2002,13,2052
2003,1,13828
2003,2,5595
2003,3,1525
2003,4,2436
2003,5,12546
2003,6,612
2003,7,10005
2003,8,2250
2003,9,11096
2003,10,444
2003,11,268
2003,12,114
2003,13,3920
2004,1,11726
2004,2,5526
2004,3,1589
2004,4,2266
2004,5,16911
2004,6,719
2004,7,11429
2004,8,2041
2004,9,10298
2004,10,420
2004,11,191
2004,12,135
2004,13,4143
2005,1,11103
2005,2,7148
2005,3,2038
2005,4,3662
2005,5,18703
2005,6,768
2005,7,13307
2005,8,2507
2005,9,16364
2005,10,543
2005,11,313
2005,12,168
2005,13,7706
2006,1,16949
2006,2,9569
2006,3,2737
2006,4,2845
2006,5,25951
2006,6,1014
2006,7,18902
2006,8,3186
2006,9,21835
2006,10,1009
2006,11,344
2006,12,83
2006,13,7051
2007,1,12710
2007,2,7230
2007,3,2063
2007,4,3509
2007,5,18703
2007,6,913
2007,7,13599
2007,8,2580
2007,9,17861
2007,10,689
2007,11,390
2007,12,149
2007,13,11484
2008,1,9904
2008,2,7464
2008,3,1848
2008,4,3336
2008,5,18825
2008,6,778
2008,7,9475
2008,8,2215
2008,9,20668
2008,10,412
2008,11,295
2008,12,93
2008,13,10048
2009,1,10449
2009,2,6225
2009,3,1615
2009,4,3314
2009,5,18402
2009,6,577
2009,7,8840
2009,8,1890
2009,9,15692
2009,10,634
2009,11,1266
2009,12,194
2009,13,7537
2010,1,8983
2010,2,5809
2010,3,1827
2010,4,3585
2010,5,19835
2010,6,715
2010,7,10196
2010,8,1903
2010,9,17221
2010,10,666
2010,11,1434
2010,12,257
2010,13,5708
2011,1,12538
2011,2,6896
2011,3,1865
2011,4,3015
2011,5,19524
2011,6,660
2011,7,9109
2011,8,1894
2011,9,17610
2011,10,451
2011,11,2828
2011,12,240
2011,13,11432
2012,1,11129
2012,2,5628
2012,3,1629
2012,4,3471
2012,5,16613
2012,6,621
2012,7,9560
2012,8,2119
2012,9,16223
2012,10,910
2012,11,773
2012,12,357
2012,13,3728
2013,1,10154
2013,2,4334
2013,3,1366
2013,4,2796
2013,5,16703
2013,6,423
2013,7,6564
2013,8,1400
2013,9,15160
2013,10,709
2013,11,666
2013,12,237
2013,13,4235
2014,1,8538
2014,2,4519
2014,3,1278
2014,4,3801
2014,5,19860
2014,6,529
2014,7,6811
2014,8,1420
2014,9,14969
2014,10,572
2014,11,1433
2014,12,284
2014,13,3697
2015,1,9812
2015,2,5484
2015,3,1884
2015,4,3731
2015,5,18339
2015,6,370
2015,7,6614
2015,8,1350
2015,9,18104
2015,10,585
2015,11,1580
2015,12,335
2015,13,6275
